Sexo;Edad;Grado de dificultad;Total
Mujeres;De 55 a 64 años;Con mucha dificultad;3,85
Mujeres;De 55 a 64 años;No puede hacerlo;1,20
Mujeres;De 65 a 74 años;TOTAL;100,00
Mujeres;De 65 a 74 años;Sin dificultad;71,58
Mujeres;De 65 a 74 años;Con alguna dificultad;17,12
Mujeres;De 65 a 74 años;Con mucha dificultad;7,88
Mujeres;De 65 a 74 años;No puede hacerlo;3,43
Mujeres;De 75 a 84 años;TOTAL;100,00
Mujeres;De 75 a 84 años;Sin dificultad;39,02
Mujeres;De 75 a 84 años;Con alguna dificultad;32,50
Mujeres;De 75 a 84 años;Con mucha dificultad;19,19
Mujeres;De 75 a 84 años;No puede hacerlo;9,29
Mujeres;De 85 y más años;TOTAL;100,00
Mujeres;De 85 y más años;Sin dificultad;19,21
Mujeres;De 85 y más años;Con alguna dificultad;25,97
Mujeres;De 85 y más años;Con mucha dificultad;29,45
Mujeres;De 85 y más años;No puede hacerlo;25,37
